,0,1,2,3,4,5,6,7,8,9,10
0,100.0,200.0,400.0,800.0,1600.0,3200.0,6400.0,12800.0,25600.0,51200.0,102400.0
1,0.0,50.0,100.0,200.0,400.0,800.0,1600.0,3200.0,6400.0,12800.0,25600.0
2,0.0,0.0,25.0,50.0,100.0,200.0,400.0,800.0,1600.0,3200.0,6400.0
3,0.0,0.0,0.0,12.5,25.0,50.0,100.0,200.0,400.0,800.0,1600.0
4,0.0,0.0,0.0,0.0,6.25,12.5,25.0,50.0,100.0,200.0,400.0
5,0.0,0.0,0.0,0.0,0.0,3.125,6.25,12.5,25.0,50.0,100.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,3.125,6.25,12.5,25.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78125,1.5625,3.125,6.25
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390625,0.78125,1.5625
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,0.390625
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09765625
